Isolate ID	Date of culture (decimal)
CF1	2019.410959
CF2	2019.435617
CF3	2019.449315
CF4	2019.482192
CF5	2020.227398
CF6	2019.115069
CF7	2017.519133
CF8	2019.147945
CF9	2019.2
CF10	2019.4
CF11	2019.430137
CF12	2019.482192
CF13	2017.196729
CF14	2019.70685
CF15	2019.750685
CF16	2019.797261
CF17	2019.816439
CF18	2019.816439
CF19	2020.046576
CF20	2020.227398
CF21	2017.732248
CF22	2017.852467
CF23	2018.284932
CF24	2018.731507
CF25	2018.797261
CF26	2018.816439
CF27	2018.816439
CF28	2018.819178
CF29	2018.832877
CF30	2018.846576
CF31	2018.849315
CF32	2019
CF33	2019.065754
CF34	2017.97815
CF35	2019.183562
CF36	2019.50411
CF37	2019.808219
CF38	2020.052055
CF39	2019.769863
CF40	2019.383562
CF39_NDM1	2019.769863
CF40_NDM1	2019.383562
CF39_OXA48	2019.769863
CF40_OXA48	2019.383562
